chief_complaint_raw,cc_stripped
bowel perforation with peritonitis with vomiting,bowel perforation with peritonitis with vomiting
bruised knee after fall,bruised knee after fall
bruised knee after fall in known patient,bruised knee after fall
"bruised knee after fall, constant",bruised knee after fall
"bruised knee after fall, for 2 days",bruised knee after fall
"bruised knee after fall, intermittent",bruised knee after fall
"bruised knee after fall, no prior history of this",bruised knee after fall
"bruised knee after fall, onset today",bruised knee after fall
"bruised knee after fall, since yesterday",bruised knee after fall
"bruised knee after fall, worsening with movement",bruised knee after fall
bruised knee after fall，worsening over hours,bruised knee after fall
bruised knee after fall with associated nausea,bruised knee after fall with associated nausea
bruised knee after fall with diaphoresis,bruised knee after fall with diaphoresis
bruised knee after fall with fever,bruised knee after fall with fever
bruised knee after fall with rigors,bruised knee after fall with rigors
bruised knee after fall with vomiting,bruised knee after fall with vomiting
bruising after ground-level fall,bruising after ground-level fall
bruising after ground-level fall in known patient,bruising after ground-level fall
"bruising after ground-level fall, constant",bruising after ground-level fall
"bruising after ground-level fall, for 2 days",bruising after ground-level fall
"bruising after ground-level fall, intermittent",bruising after ground-level fall
"bruising after ground-level fall, no prior history of this",bruising after ground-level fall
"bruising after ground-level fall, onset today",bruising after ground-level fall
"bruising after ground-level fall, since yesterday",bruising after ground-level fall
"bruising after ground-level fall, worsening with movement",bruising after ground-level fall
bruising after ground-level fall，worsening over hours,bruising after ground-level fall
bruising after ground-level fall with associated nausea,bruising after ground-level fall with associated nausea
bruising after ground-level fall with diaphoresis,bruising after ground-level fall with diaphoresis
bruising after ground-level fall with fever,bruising after ground-level fall with fever
bruising after ground-level fall with rigors,bruising after ground-level fall with rigors
bruising after ground-level fall with vomiting,bruising after ground-level fall with vomiting
bullous pemphigoid acute,bullous pemphigoid acute
bullous pemphigoid acute in known patient,bullous pemphigoid acute
"bullous pemphigoid acute, constant",bullous pemphigoid acute
"bullous pemphigoid acute, for 2 days",bullous pemphigoid acute
"bullous pemphigoid acute, intermittent",bullous pemphigoid acute
"bullous pemphigoid acute, no prior history of this",bullous pemphigoid acute
"bullous pemphigoid acute, onset today",bullous pemphigoid acute
"bullous pemphigoid acute, since yesterday",bullous pemphigoid acute
"bullous pemphigoid acute, worsening with movement",bullous pemphigoid acute
bullous pemphigoid acute，worsening over hours,bullous pemphigoid acute
bullous pemphigoid acute with associated nausea,bullous pemphigoid acute with associated nausea
bullous pemphigoid acute with diaphoresis,bullous pemphigoid acute with diaphoresis
bullous pemphigoid acute with fever,bullous pemphigoid acute with fever
bullous pemphigoid acute with rigors,bullous pemphigoid acute with rigors
bullous pemphigoid acute with vomiting,bullous pemphigoid acute with vomiting
cardiac arrest,cardiac arrest
cardiac arrest in known patient,cardiac arrest
"cardiac arrest, constant",cardiac arrest
"cardiac arrest, for 2 days",cardiac arrest
"cardiac arrest, intermittent",cardiac arrest
"cardiac arrest, no prior history of this",cardiac arrest
"cardiac arrest, onset today",cardiac arrest
"cardiac arrest, since yesterday",cardiac arrest
"cardiac arrest, worsening with movement",cardiac arrest
cardiac arrest，worsening over hours,cardiac arrest
cardiac arrest with associated nausea,cardiac arrest with associated nausea
cardiac arrest with diaphoresis,cardiac arrest with diaphoresis
cardiac arrest with fever,cardiac arrest with fever
cardiac arrest with rigors,cardiac arrest with rigors
cardiac arrest with vomiting,cardiac arrest with vomiting
severe cardiogenic shock,cardiogenic shock
severe cardiogenic shock in known patient,cardiogenic shock
"severe cardiogenic shock, constant",cardiogenic shock
"severe cardiogenic shock, for 2 days",cardiogenic shock
"severe cardiogenic shock, intermittent",cardiogenic shock
"severe cardiogenic shock, no prior history of this",cardiogenic shock
"severe cardiogenic shock, onset today",cardiogenic shock
"severe cardiogenic shock, since yesterday",cardiogenic shock
"severe cardiogenic shock, worsening with movement",cardiogenic shock
severe cardiogenic shock，worsening over hours,cardiogenic shock
severe cardiogenic shock with associated nausea,cardiogenic shock with associated nausea
severe cardiogenic shock with diaphoresis,cardiogenic shock with diaphoresis
severe cardiogenic shock with fever,cardiogenic shock with fever
severe cardiogenic shock with rigors,cardiogenic shock with rigors
severe cardiogenic shock with vomiting,cardiogenic shock with vomiting
cardiology paperwork,cardiology paperwork
cardiology paperwork in known patient,cardiology paperwork
"cardiology paperwork, constant",cardiology paperwork
"cardiology paperwork, for 2 days",cardiology paperwork
"cardiology paperwork, intermittent",cardiology paperwork
"cardiology paperwork, no prior history of this",cardiology paperwork
"cardiology paperwork, onset today",cardiology paperwork
"cardiology paperwork, since yesterday",cardiology paperwork
"cardiology paperwork, worsening with movement",cardiology paperwork
cardiology paperwork，worsening over hours,cardiology paperwork
cardiology paperwork with associated nausea,cardiology paperwork with associated nausea
cardiology paperwork with diaphoresis,cardiology paperwork with diaphoresis
cardiology paperwork with fever,cardiology paperwork with fever
cardiology paperwork with rigors,cardiology paperwork with rigors
cardiology paperwork with vomiting,cardiology paperwork with vomiting
cellulitis localised,cellulitis localised
cellulitis localised in known patient,cellulitis localised
"cellulitis localised, constant",cellulitis localised
"cellulitis localised, for 2 days",cellulitis localised
"cellulitis localised, intermittent",cellulitis localised
"cellulitis localised, no prior history of this",cellulitis localised
"cellulitis localised, onset today",cellulitis localised
"cellulitis localised, since yesterday",cellulitis localised
"cellulitis localised, worsening with movement",cellulitis localised
cellulitis localised，worsening over hours,cellulitis localised
cellulitis localised with associated nausea,cellulitis localised with associated nausea
cellulitis localised with diaphoresis,cellulitis localised with diaphoresis
cellulitis localised with fever,cellulitis localised with fever
cellulitis localised with rigors,cellulitis localised with rigors
cellulitis localised with vomiting,cellulitis localised with vomiting
central retinal artery occlusion,central retinal artery occlusion
central retinal artery occlusion in known patient,central retinal artery occlusion
"central retinal artery occlusion, constant",central retinal artery occlusion
"central retinal artery occlusion, for 2 days",central retinal artery occlusion
"central retinal artery occlusion, intermittent",central retinal artery occlusion
"central retinal artery occlusion, no prior history of this",central retinal artery occlusion
"central retinal artery occlusion, onset today",central retinal artery occlusion
"central retinal artery occlusion, since yesterday",central retinal artery occlusion
"central retinal artery occlusion, worsening with movement",central retinal artery occlusion
central retinal artery occlusion，worsening over hours,central retinal artery occlusion
central retinal artery occlusion with associated nausea,central retinal artery occlusion with associated nausea
central retinal artery occlusion with diaphoresis,central retinal artery occlusion with diaphoresis
central retinal artery occlusion with fever,central retinal artery occlusion with fever
central retinal artery occlusion with rigors,central retinal artery occlusion with rigors
central retinal artery occlusion with vomiting,central retinal artery occlusion with vomiting
cervical spine injury with neurological deficit,cervical spine injury with neurological deficit
cervical spine injury with neurological deficit in known patient,cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, constant",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, for 2 days",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, intermittent",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, no prior history of this",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, onset today",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, since yesterday",cervical spine injury with neurological deficit
"cervical spine injury with neurological deficit, worsening with movement",cervical spine injury with neurological deficit
cervical spine injury with neurological deficit，worsening over hours,cervical spine injury with neurological deficit
cervical spine injury with neurological deficit with associated nausea,cervical spine injury with neurological deficit with associated nausea
cervical spine injury with neurological deficit with diaphoresis,cervical spine injury with neurological deficit with diaphoresis
cervical spine injury with neurological deficit with fever,cervical spine injury with neurological deficit with fever
cervical spine injury with neurological deficit with vomiting,cervical spine injury with neurological deficit with vomiting
chemical eye burn bilateral,chemical eye burn bilateral
chemical eye burn bilateral in known patient,chemical eye burn bilateral
"chemical eye burn bilateral, for 2 days",chemical eye burn bilateral
"chemical eye burn bilateral, intermittent",chemical eye burn bilateral
"chemical eye burn bilateral, no prior history of this",chemical eye burn bilateral
"chemical eye burn bilateral, onset today",chemical eye burn bilateral
"chemical eye burn bilateral, worsening with movement",chemical eye burn bilateral
chemical eye burn bilateral，worsening over hours,chemical eye burn bilateral
chemical eye burn bilateral with associated nausea,chemical eye burn bilateral with associated nausea
chemical eye burn bilateral with diaphoresis,chemical eye burn bilateral with diaphoresis
chemical eye burn bilateral with fever,chemical eye burn bilateral with fever
chemical eye burn bilateral with rigors,chemical eye burn bilateral with rigors
chemical eye burn bilateral with vomiting,chemical eye burn bilateral with vomiting
mild chest discomfort stable,chest discomfort stable
mild chest discomfort stable in known patient,chest discomfort stable
"mild chest discomfort stable, constant",chest discomfort stable
"mild chest discomfort stable, for 2 days",chest discomfort stable
"mild chest discomfort stable, intermittent",chest discomfort stable
"mild chest discomfort stable, no prior history of this",chest discomfort stable
"mild chest discomfort stable, onset today",chest discomfort stable
"mild chest discomfort stable, since yesterday",chest discomfort stable
"mild chest discomfort stable, worsening with movement",chest discomfort stable
mild chest discomfort stable，worsening over hours,chest discomfort stable
mild chest discomfort stable with associated nausea,chest discomfort stable with associated nausea
mild chest discomfort stable with diaphoresis,chest discomfort stable with diaphoresis
mild chest discomfort stable with fever,chest discomfort stable with fever
mild chest discomfort stable with rigors,chest discomfort stable with rigors
mild chest discomfort stable with vomiting,chest discomfort stable with vomiting
chest pain with diaphoresis and arm radiation,chest pain with diaphoresis and arm radiation
chest pain with diaphoresis and arm radiation in known patient,chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, constant",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, for 2 days",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, intermittent",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, no prior history of this",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, onset today",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, since yesterday",chest pain with diaphoresis and arm radiation
"chest pain with diaphoresis and arm radiation, worsening with movement",chest pain with diaphoresis and arm radiation
chest pain with diaphoresis and arm radiation，worsening over hours,chest pain with diaphoresis and arm radiation
chest pain with diaphoresis and arm radiation with associated nausea,chest pain with diaphoresis and arm radiation with associated nausea
chest pain with diaphoresis and arm radiation with diaphoresis,chest pain with diaphoresis and arm radiation with diaphoresis
chest pain with diaphoresis and arm radiation with fever,chest pain with diaphoresis and arm radiation with fever
chest pain with diaphoresis and arm radiation with rigors,chest pain with diaphoresis and arm radiation with rigors
chest pain with diaphoresis and arm radiation with vomiting,chest pain with diaphoresis and arm radiation with vomiting
chest tightness with dyspnoea,chest tightness with dyspnoea
chest tightness with dyspnoea in known patient,chest tightness with dyspnoea
"chest tightness with dyspnoea, constant",chest tightness with dyspnoea
"chest tightness with dyspnoea, for 2 days",chest tightness with dyspnoea
"chest tightness with dyspnoea, intermittent",chest tightness with dyspnoea
"chest tightness with dyspnoea, no prior history of this",chest tightness with dyspnoea
"chest tightness with dyspnoea, onset today",chest tightness with dyspnoea
"chest tightness with dyspnoea, since yesterday",chest tightness with dyspnoea
"chest tightness with dyspnoea, worsening with movement",chest tightness with dyspnoea
chest tightness with dyspnoea，worsening over hours,chest tightness with dyspnoea
chest tightness with dyspnoea with associated nausea,chest tightness with dyspnoea with associated nausea
chest tightness with dyspnoea with diaphoresis,chest tightness with dyspnoea with diaphoresis
chest tightness with dyspnoea with fever,chest tightness with dyspnoea with fever
chest tightness with dyspnoea with rigors,chest tightness with dyspnoea with rigors
chest tightness with dyspnoea with vomiting,chest tightness with dyspnoea with vomiting
minor chest wall pain,chest wall pain
minor chest wall pain in known patient,chest wall pain
"minor chest wall pain, constant",chest wall pain
"minor chest wall pain, for 2 days",chest wall pain
"minor chest wall pain, intermittent",chest wall pain
"minor chest wall pain, no prior history of this",chest wall pain
"minor chest wall pain, onset today",chest wall pain
"minor chest wall pain, since yesterday",chest wall pain
"minor chest wall pain, worsening with movement",chest wall pain
minor chest wall pain，worsening over hours,chest wall pain
minor chest wall pain with associated nausea,chest wall pain with associated nausea
minor chest wall pain with diaphoresis,chest wall pain with diaphoresis
minor chest wall pain with fever,chest wall pain with fever
minor chest wall pain with rigors,chest wall pain with rigors
minor chest wall pain with vomiting,chest wall pain with vomiting
chronic anxiety flare,chronic anxiety flare
chronic anxiety flare in known patient,chronic anxiety flare
"chronic anxiety flare, constant",chronic anxiety flare
"chronic anxiety flare, for 2 days",chronic anxiety flare
"chronic anxiety flare, intermittent",chronic anxiety flare
"chronic anxiety flare, no prior history of this",chronic anxiety flare
"chronic anxiety flare, onset today",chronic anxiety flare
"chronic anxiety flare, since yesterday",chronic anxiety flare
"chronic anxiety flare, worsening with movement",chronic anxiety flare
chronic anxiety flare，worsening over hours,chronic anxiety flare
chronic anxiety flare with associated nausea,chronic anxiety flare with associated nausea
chronic anxiety flare with diaphoresis,chronic anxiety flare with diaphoresis
chronic anxiety flare with fever,chronic anxiety flare with fever
chronic anxiety flare with rigors,chronic anxiety flare with rigors
chronic anxiety flare with vomiting,chronic anxiety flare with vomiting
chronic cough review,chronic cough review
chronic cough review in known patient,chronic cough review
"chronic cough review, constant",chronic cough review
"chronic cough review, for 2 days",chronic cough review
"chronic cough review, intermittent",chronic cough review
"chronic cough review, no prior history of this",chronic cough review
"chronic cough review, onset today",chronic cough review
"chronic cough review, since yesterday",chronic cough review
"chronic cough review, worsening with movement",chronic cough review
chronic cough review，worsening over hours,chronic cough review
chronic cough review with associated nausea,chronic cough review with associated nausea
chronic cough review with diaphoresis,chronic cough review with diaphoresis
chronic cough review with fever,chronic cough review with fever
chronic cough review with rigors,chronic cough review with rigors
chronic cough review with vomiting,chronic cough review with vomiting
chronic headache review,chronic headache review
chronic headache review in known patient,chronic headache review
"chronic headache review, constant",chronic headache review
"chronic headache review, for 2 days",chronic headache review
"chronic headache review, intermittent",chronic headache review
"chronic headache review, no prior history of this",chronic headache review
"chronic headache review, onset today",chronic headache review
"chronic headache review, since yesterday",chronic headache review
"chronic headache review, worsening with movement",chronic headache review
chronic headache review，worsening over hours,chronic headache review
chronic headache review with associated nausea,chronic headache review with associated nausea
chronic headache review with diaphoresis,chronic headache review with diaphoresis
chronic headache review with fever,chronic headache review with fever
chronic headache review with rigors,chronic headache review with rigors
chronic headache review with vomiting,chronic headache review with vomiting
closed ankle fracture,closed ankle fracture
closed ankle fracture in known patient,closed ankle fracture
"closed ankle fracture, constant",closed ankle fracture
"closed ankle fracture, for 2 days",closed ankle fracture
"closed ankle fracture, intermittent",closed ankle fracture
"closed ankle fracture, no prior history of this",closed ankle fracture
"closed ankle fracture, onset today",closed ankle fracture
"closed ankle fracture, since yesterday",closed ankle fracture
"closed ankle fracture, worsening with movement",closed ankle fracture
closed ankle fracture，worsening over hours,closed ankle fracture
closed ankle fracture with associated nausea,closed ankle fracture with associated nausea
closed ankle fracture with diaphoresis,closed ankle fracture with diaphoresis
closed ankle fracture with fever,closed ankle fracture with fever
closed ankle fracture with rigors,closed ankle fracture with rigors
closed ankle fracture with vomiting,closed ankle fracture with vomiting
coffee-ground vomiting,coffee-ground vomiting
coffee-ground vomiting in known patient,coffee-ground vomiting
"coffee-ground vomiting, constant",coffee-ground vomiting
"coffee-ground vomiting, for 2 days",coffee-ground vomiting
"coffee-ground vomiting, intermittent",coffee-ground vomiting
"coffee-ground vomiting, no prior history of this",coffee-ground vomiting
"coffee-ground vomiting, onset today",coffee-ground vomiting
"coffee-ground vomiting, since yesterday",coffee-ground vomiting
"coffee-ground vomiting, worsening with movement",coffee-ground vomiting
coffee-ground vomiting，worsening over hours,coffee-ground vomiting
coffee-ground vomiting with associated nausea,coffee-ground vomiting with associated nausea
coffee-ground vomiting with diaphoresis,coffee-ground vomiting with diaphoresis
coffee-ground vomiting with fever,coffee-ground vomiting with fever
coffee-ground vomiting with rigors,coffee-ground vomiting with rigors
coffee-ground vomiting with vomiting,coffee-ground vomiting with vomiting
coma of unknown cause,coma of unknown cause
coma of unknown cause in known patient,coma of unknown cause
"coma of unknown cause, constant",coma of unknown cause
"coma of unknown cause, for 2 days",coma of unknown cause
"coma of unknown cause, intermittent",coma of unknown cause
"coma of unknown cause, no prior history of this",coma of unknown cause
"coma of unknown cause, onset today",coma of unknown cause
"coma of unknown cause, since yesterday",coma of unknown cause
"coma of unknown cause, worsening with movement",coma of unknown cause
coma of unknown cause，worsening over hours,coma of unknown cause
coma of unknown cause with associated nausea,coma of unknown cause with associated nausea
coma of unknown cause with diaphoresis,coma of unknown cause with diaphoresis
coma of unknown cause with fever,coma of unknown cause with fever
coma of unknown cause with rigors,coma of unknown cause with rigors
coma of unknown cause with vomiting,coma of unknown cause with vomiting
community pneumonia moderate,community pneumonia
community pneumonia moderate in known patient,community pneumonia
"community pneumonia moderate, constant",community pneumonia
"community pneumonia moderate, for 2 days",community pneumonia
"community pneumonia moderate, intermittent",community pneumonia
"community pneumonia moderate, no prior history of this",community pneumonia
"community pneumonia moderate, onset today",community pneumonia
"community pneumonia moderate, since yesterday",community pneumonia
"community pneumonia moderate, worsening with movement",community pneumonia
community pneumonia moderate，worsening over hours,community pneumonia
community pneumonia moderate with associated nausea,community pneumonia  with associated nausea
community pneumonia moderate with diaphoresis,community pneumonia  with diaphoresis
community pneumonia moderate with fever,community pneumonia  with fever
community pneumonia moderate with rigors,community pneumonia  with rigors
community pneumonia moderate with vomiting,community pneumonia  with vomiting
community-acquired pneumonia with fever,community-acquired pneumonia with fever
community-acquired pneumonia with fever in known patient,community-acquired pneumonia with fever
"community-acquired pneumonia with fever, constant",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, for 2 days",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, intermittent",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, no prior history of this",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, onset today",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, since yesterday",community-acquired pneumonia with fever
"community-acquired pneumonia with fever, worsening with movement",community-acquired pneumonia with fever
community-acquired pneumonia with fever，worsening over hours,community-acquired pneumonia with fever
community-acquired pneumonia with fever with associated nausea,community-acquired pneumonia with fever with associated nausea
community-acquired pneumonia with fever with diaphoresis,community-acquired pneumonia with fever with diaphoresis
community-acquired pneumonia with fever with fever,community-acquired pneumonia with fever with fever
community-acquired pneumonia with fever with rigors,community-acquired pneumonia with fever with rigors
community-acquired pneumonia with fever with vomiting,community-acquired pneumonia with fever with vomiting
confusion in elderly patient,confusion in elderly patient
confusion in elderly patient in known patient,confusion in elderly patient
"confusion in elderly patient, constant",confusion in elderly patient
"confusion in elderly patient, for 2 days",confusion in elderly patient
"confusion in elderly patient, intermittent",confusion in elderly patient
"confusion in elderly patient, no prior history of this",confusion in elderly patient
"confusion in elderly patient, onset today",confusion in elderly patient
"confusion in elderly patient, since yesterday",confusion in elderly patient
"confusion in elderly patient, worsening with movement",confusion in elderly patient
confusion in elderly patient，worsening over hours,confusion in elderly patient
confusion in elderly patient with associated nausea,confusion in elderly patient with associated nausea
confusion in elderly patient with diaphoresis,confusion in elderly patient with diaphoresis
confusion in elderly patient with fever,confusion in elderly patient with fever
confusion in elderly patient with rigors,confusion in elderly patient with rigors
confusion in elderly patient with vomiting,confusion in elderly patient with vomiting
mild confusion now resolved,confusion now resolved
mild confusion now resolved in known patient,confusion now resolved
"mild confusion now resolved, constant",confusion now resolved
"mild confusion now resolved, for 2 days",confusion now resolved
"mild confusion now resolved, intermittent",confusion now resolved
"mild confusion now resolved, no prior history of this",confusion now resolved
"mild confusion now resolved, onset today",confusion now resolved
"mild confusion now resolved, since yesterday",confusion now resolved
"mild confusion now resolved, worsening with movement",confusion now resolved
mild confusion now resolved，worsening over hours,confusion now resolved
mild confusion now resolved with associated nausea,confusion now resolved with associated nausea
mild confusion now resolved with diaphoresis,confusion now resolved with diaphoresis
mild confusion now resolved with fever,confusion now resolved with fever
mild confusion now resolved with rigors,confusion now resolved with rigors
mild confusion now resolved with vomiting,confusion now resolved with vomiting
conjunctival haemorrhage,conjunctival haemorrhage
conjunctival haemorrhage in known patient,conjunctival haemorrhage
"conjunctival haemorrhage, constant",conjunctival haemorrhage
"conjunctival haemorrhage, for 2 days",conjunctival haemorrhage
"conjunctival haemorrhage, intermittent",conjunctival haemorrhage
"conjunctival haemorrhage, no prior history of this",conjunctival haemorrhage
"conjunctival haemorrhage, onset today",conjunctival haemorrhage
"conjunctival haemorrhage, since yesterday",conjunctival haemorrhage
"conjunctival haemorrhage, worsening with movement",conjunctival haemorrhage
conjunctival haemorrhage，worsening over hours,conjunctival haemorrhage
conjunctival haemorrhage with associated nausea,conjunctival haemorrhage with associated nausea
conjunctival haemorrhage with diaphoresis,conjunctival haemorrhage with diaphoresis
conjunctival haemorrhage with fever,conjunctival haemorrhage with fever
conjunctival haemorrhage with rigors,conjunctival haemorrhage with rigors
conjunctival haemorrhage with vomiting,conjunctival haemorrhage with vomiting
conjunctivitis,conjunctivitis
conjunctivitis in known patient,conjunctivitis
"conjunctivitis, constant",conjunctivitis
"conjunctivitis, for 2 days",conjunctivitis
"conjunctivitis, intermittent",conjunctivitis
"conjunctivitis, no prior history of this",conjunctivitis
"conjunctivitis, onset today",conjunctivitis
"conjunctivitis, since yesterday",conjunctivitis
"conjunctivitis, worsening with movement",conjunctivitis
conjunctivitis，worsening over hours,conjunctivitis
conjunctivitis with associated nausea,conjunctivitis with associated nausea
conjunctivitis with diaphoresis,conjunctivitis with diaphoresis
conjunctivitis with fever,conjunctivitis with fever
conjunctivitis with rigors,conjunctivitis with rigors
conjunctivitis with vomiting,conjunctivitis with vomiting
constipation five days,constipation five days
constipation five days in known patient,constipation five days
"constipation five days, constant",constipation five days
"constipation five days, for 2 days",constipation five days
"constipation five days, intermittent",constipation five days
"constipation five days, no prior history of this",constipation five days
"constipation five days, onset today",constipation five days
"constipation five days, since yesterday",constipation five days
"constipation five days, worsening with movement",constipation five days
constipation five days，worsening over hours,constipation five days
constipation five days with associated nausea,constipation five days with associated nausea
constipation five days with diaphoresis,constipation five days with diaphoresis
constipation five days with fever,constipation five days with fever
constipation five days with rigors,constipation five days with rigors
constipation five days with vomiting,constipation five days with vomiting
mild contact dermatitis,contact dermatitis
mild contact dermatitis in known patient,contact dermatitis
"mild contact dermatitis, constant",contact dermatitis
"mild contact dermatitis, for 2 days",contact dermatitis
"mild contact dermatitis, intermittent",contact dermatitis
"mild contact dermatitis, no prior history of this",contact dermatitis
"mild contact dermatitis, onset today",contact dermatitis
"mild contact dermatitis, since yesterday",contact dermatitis
"mild contact dermatitis, worsening with movement",contact dermatitis
mild contact dermatitis，worsening over hours,contact dermatitis
mild contact dermatitis with associated nausea,contact dermatitis with associated nausea
mild contact dermatitis with diaphoresis,contact dermatitis with diaphoresis
mild contact dermatitis with fever,contact dermatitis with fever
mild contact dermatitis with rigors,contact dermatitis with rigors
mild contact dermatitis with vomiting,contact dermatitis with vomiting
contact lens problem,contact lens problem
contact lens problem in known patient,contact lens problem
"contact lens problem, constant",contact lens problem
"contact lens problem, for 2 days",contact lens problem
"contact lens problem, intermittent",contact lens problem
"contact lens problem, no prior history of this",contact lens problem
"contact lens problem, onset today",contact lens problem
"contact lens problem, since yesterday",contact lens problem
"contact lens problem, worsening with movement",contact lens problem
contact lens problem，worsening over hours,contact lens problem
contact lens problem with associated nausea,contact lens problem with associated nausea
contact lens problem with diaphoresis,contact lens problem with diaphoresis
contact lens problem with fever,contact lens problem with fever
contact lens problem with rigors,contact lens problem with rigors
contact lens problem with vomiting,contact lens problem with vomiting
contraception advice,contraception advice
contraception advice in known patient,contraception advice
"contraception advice, constant",contraception advice
"contraception advice, for 2 days",contraception advice
"contraception advice, intermittent",contraception advice
"contraception advice, no prior history of this",contraception advice
"contraception advice, onset today",contraception advice
"contraception advice, since yesterday",contraception advice
"contraception advice, worsening with movement",contraception advice
contraception advice，worsening over hours,contraception advice
contraception advice with associated nausea,contraception advice with associated nausea
contraception advice with diaphoresis,contraception advice with diaphoresis
contraception advice with fever,contraception advice with fever
contraception advice with rigors,contraception advice with rigors
contraception advice with vomiting,contraception advice with vomiting
corneal abrasion,corneal abrasion
corneal abrasion in known patient,corneal abrasion
"corneal abrasion, constant",corneal abrasion
"corneal abrasion, for 2 days",corneal abrasion
"corneal abrasion, intermittent",corneal abrasion
"corneal abrasion, no prior history of this",corneal abrasion
"corneal abrasion, onset today",corneal abrasion
"corneal abrasion, since yesterday",corneal abrasion
"corneal abrasion, worsening with movement",corneal abrasion
corneal abrasion，worsening over hours,corneal abrasion
corneal abrasion with associated nausea,corneal abrasion with associated nausea
corneal abrasion with diaphoresis,corneal abrasion with diaphoresis
corneal abrasion with fever,corneal abrasion with fever
corneal abrasion with rigors,corneal abrasion with rigors
corneal abrasion with vomiting,corneal abrasion with vomiting
counselling referral,counselling referral
counselling referral in known patient,counselling referral
"counselling referral, constant",counselling referral
"counselling referral, for 2 days",counselling referral
"counselling referral, intermittent",counselling referral
"counselling referral, no prior history of this",counselling referral
"counselling referral, onset today",counselling referral
"counselling referral, since yesterday",counselling referral
"counselling referral, worsening with movement",counselling referral
counselling referral，worsening over hours,counselling referral
counselling referral with associated nausea,counselling referral with associated nausea
counselling referral with diaphoresis,counselling referral with diaphoresis
counselling referral with fever,counselling referral with fever
counselling referral with rigors,counselling referral with rigors
counselling referral with vomiting,counselling referral with vomiting
crush injury with compartment syndrome,crush injury with compartment syndrome
crush injury with compartment syndrome in known patient,crush injury with compartment syndrome
"crush injury with compartment syndrome, constant",crush injury with compartment syndrome
"crush injury with compartment syndrome, for 2 days",crush injury with compartment syndrome
"crush injury with compartment syndrome, intermittent",crush injury with compartment syndrome
"crush injury with compartment syndrome, no prior history of this",crush injury with compartment syndrome
"crush injury with compartment syndrome, onset today",crush injury with compartment syndrome
"crush injury with compartment syndrome, since yesterday",crush injury with compartment syndrome
"crush injury with compartment syndrome, worsening with movement",crush injury with compartment syndrome
crush injury with compartment syndrome，worsening over hours,crush injury with compartment syndrome
crush injury with compartment syndrome with associated nausea,crush injury with compartment syndrome with associated nausea
crush injury with compartment syndrome with diaphoresis,crush injury with compartment syndrome with diaphoresis
crush injury with compartment syndrome with fever,crush injury with compartment syndrome with fever
crush injury with compartment syndrome with rigors,crush injury with compartment syndrome with rigors
crush injury with compartment syndrome with vomiting,crush injury with compartment syndrome with vomiting
decompensated heart failure,decompensated heart failure
decompensated heart failure in known patient,decompensated heart failure
"decompensated heart failure, constant",decompensated heart failure
"decompensated heart failure, for 2 days",decompensated heart failure
"decompensated heart failure, intermittent",decompensated heart failure
"decompensated heart failure, no prior history of this",decompensated heart failure
"decompensated heart failure, onset today",decompensated heart failure
"decompensated heart failure, since yesterday",decompensated heart failure
"decompensated heart failure, worsening with movement",decompensated heart failure
decompensated heart failure，worsening over hours,decompensated heart failure
decompensated heart failure with associated nausea,decompensated heart failure with associated nausea
decompensated heart failure with diaphoresis,decompensated heart failure with diaphoresis
decompensated heart failure with fever,decompensated heart failure with fever
decompensated heart failure with rigors,decompensated heart failure with rigors
decompensated heart failure with vomiting,decompensated heart failure with vomiting
deep dog bite wound,deep dog bite wound
deep dog bite wound in known patient,deep dog bite wound
"deep dog bite wound, constant",deep dog bite wound
"deep dog bite wound, for 2 days",deep dog bite wound
"deep dog bite wound, intermittent",deep dog bite wound
"deep dog bite wound, no prior history of this",deep dog bite wound
"deep dog bite wound, onset today",deep dog bite wound
"deep dog bite wound, since yesterday",deep dog bite wound
"deep dog bite wound, worsening with movement",deep dog bite wound
deep dog bite wound，worsening over hours,deep dog bite wound
deep dog bite wound with associated nausea,deep dog bite wound with associated nausea
deep dog bite wound with diaphoresis,deep dog bite wound with diaphoresis
deep dog bite wound with fever,deep dog bite wound with fever
deep dog bite wound with rigors,deep dog bite wound with rigors
deep dog bite wound with vomiting,deep dog bite wound with vomiting
dehydration moderate,dehydration
dehydration moderate in known patient,dehydration
"dehydration moderate, constant",dehydration
"dehydration moderate, for 2 days",dehydration
